product_id,product_name,brand,category,retail_price,ratings,reviews,date_added,stock_status,customer_segment,discount_pct,discounted_price,price_tier,rating_level,is_outlier
PID1000,iPhone 13,Apple,Phones,16295,3.3,8453,2022-12-04,In Stock,Mid-Tier,27.42,11827,Low,Average,False
PID1001,Noise ColorFit Pro 4,Noise,Wearables,1360,4.8,1442,2020-06-26,Out of Stock,Budget,50.51,673,Low,Excellent,True
PID1002,Apple MacBook Air M1,Apple,Laptops,77320,2.5,8597,2021-10-24,Out of Stock,Budget,47.05,40941,High,Poor,False
PID1003,Realme Narzo 60,Realme,Phones,55386,3.1,4437,2022-11-16,Out of Stock,Budget,36.54,35148,Medium,Average,False
PID1004,OnePlus Nord CE 3,Oneplus,Phones,6765,3.4,5435,2022-11-28,In Stock,Premium,57.58,2870,Low,Average,True
PID1005,Realme Narzo 60,Realme,Phones,82886,3.7,8435,2024-09-06,Out of Stock,Premium,16.03,69599,High,Average,False
PID1006,boAt Rockerz 450,boAboat,Audio,37694,4.6,4107,2023-04-01,Out of Stock,Mid-Tier,11.01,33544,Medium,Excellent,False
PID1007,Dell Inspiron 3511,Dell,Laptops,87998,2.7,560,2024-05-12,In Stock,Mid-Tier,51.97,42265,High,Poor,True
PID1008,Dell Inspiron 3511,Dell,Laptops,44631,4.5,8785,2023-07-15,Limited Stock,Premium,29.15,31621,Medium,Good,False
PID1009,Nikon D3500,Nikon,Cameras,60763,2.6,5548,2024-11-24,Limited Stock,Mid-Tier,51.58,29421,Medium,Poor,True
PID1010,Samsung Galaxy M13,Samsung,Phones,16523,4.6,1826,2021-04-01,In Stock,Premium,54.12,7581,Low,Excellent,True
PID1011,iPad 10th Gen,iPad,Tablets,41590,2.6,7629,2021-05-06,In Stock,Budget,8.44,38080,Medium,Poor,False
PID1012,HP Victus Gaming 16,HP,Laptops,67721,2.5,8325,2023-07-02,Out of Stock,Premium,53.59,31429,High,Poor,True
PID1013,boAt Rockerz 450,boAboat,Audio,65320,4.2,3138,2022-06-10,Out of Stock,Budget,29.66,45946,Medium,Good,False
PID1014,Realme Narzo 60,Realme,Phones,1269,5.0,7693,2024-08-23,In Stock,Budget,33.07,849,Low,Excellent,False
PID1015,boAt Rockerz 450,boAboat,Audio,60235,4.7,8264,2025-02-04,In Stock,Budget,39.46,36466,Medium,Excellent,False
PID1016,HP Victus Gaming 16,Hp,Laptops,63455,3.9,7842,2024-05-08,Out of Stock,Mid-Tier,55.95,27952,Medium,Average,True
PID1017,Samsung Crystal 4K,Samsung,Televisions,65425,4.8,6721,2020-12-21,In Stock,Mid-Tier,6.05,61467,Medium,Excellent,False
PID1018,Apple MacBook Air M1,Apple,Laptops,68469,2.5,7002,2025-01-02,In Stock,Mid-Tier,31.23,47086,High,Poor,False
